"","offset","location","condition","realism","response"
"502",200,0,17,"real",1
"503",300,0,4,"unreal",2
"504",0,1,17,"real",7
"505",100,0.5,4,"unreal",2
"506",400,0.5,4,"unreal",1
"507",100,0,17,"real",2
"508",400,1,4,"unreal",1
"509",0,0,17,"real",2
"510",0,0.5,17,"real",8
"511",0,0,17,"real",9
"512",300,1,4,"unreal",1
"513",200,0.5,4,"unreal",2
"514",400,0.5,4,"unreal",3
"515",0,0.5,4,"unreal",6
"516",200,0.5,17,"real",5
"517",300,1,17,"real",2
"518",400,0,4,"unreal",1
"519",300,0,17,"real",2
"520",100,1,17,"real",3
"521",400,1,17,"real",2
"522",200,0,4,"unreal",1
"523",100,0,4,"unreal",1
"524",0,0,4,"unreal",2
"525",300,0.5,4,"unreal",2
"526",100,0.5,4,"unreal",3
"527",200,0,17,"real",4
"528",0,1,17,"real",8
"529",200,1,4,"unreal",1
"530",400,0.5,17,"real",1
"531",300,0,4,"unreal",1
"532",100,1,4,"unreal",2
"533",400,1,4,"unreal",3
"534",400,0,17,"real",2
"535",100,0.5,17,"real",7
"536",0,0.5,17,"real",8
"537",100,0,17,"real",7
"538",200,1,17,"real",5
"539",300,0.5,17,"real",6
"540",0,1,4,"unreal",7
"541",100,0.5,4,"unreal",6
"542",100,1,17,"real",7
"543",0,1,17,"real",8
"544",200,0.5,4,"unreal",3
"545",100,1,4,"unreal",3
"546",200,0,17,"real",9
"547",100,0.5,17,"real",8
"548",0,0,17,"real",9
"549",300,1,4,"unreal",1
"550",400,0,17,"real",2
"551",0,1,4,"unreal",1
"552",200,0.5,17,"real",3
"553",0,0,4,"unreal",3
"554",400,0,4,"unreal",7
"555",400,1,4,"unreal",1
"556",0,0.5,4,"unreal",8
"557",0,0.5,17,"real",9
"558",300,1,17,"real",5
"559",300,0,4,"unreal",3
"560",300,0,17,"real",4
"561",100,0,17,"real",9
"562",400,1,17,"real",9
"563",100,0,4,"unreal",5
"564",200,1,4,"unreal",2
"565",400,0.5,17,"real",2
"566",200,0,4,"unreal",1
"567",200,1,17,"real",1
"568",400,0.5,4,"unreal",2
"569",300,0.5,4,"unreal",1
"570",300,0.5,17,"real",2
"571",200,0.5,4,"unreal",1
"572",100,1,4,"unreal",2
"573",0,1,4,"unreal",2
"574",200,0,4,"unreal",1
"575",0,0.5,4,"unreal",4
"576",200,1,4,"unreal",2
"577",400,0.5,17,"real",8
"578",400,0,4,"unreal",3
"579",300,1,4,"unreal",1
"580",100,0.5,17,"real",3
"581",400,1,4,"unreal",1
"582",100,0,4,"unreal",2
"583",400,1,17,"real",1
"584",200,0,17,"real",2
"585",100,0.5,4,"unreal",1
"586",0,1,17,"real",9
"587",0,0,4,"unreal",7
"588",0,0,17,"real",8
"589",400,0.5,4,"unreal",7
"590",200,1,17,"real",6
"591",400,0,17,"real",7
"592",200,0.5,17,"real",4
"593",300,0.5,4,"unreal",2
"594",100,1,17,"real",3
