"","block","signals","offset","response"
"1580","audioKines",3,100,1
"1581","audioKines",3,600,0
"1582","audioKines",3,0,1
"1583","audioKines",3,400,0
"1584","audioKines",3,300,0
"1585","audioKines",3,0,1
"1586","audioKines",3,400,0
"1587","audioKines",3,200,0
"1588","audioKines",3,100,1
"1589","audioKines",3,500,0
"1590","audioKines",3,300,0
"1591","audioKines",3,100,1
"1592","audioKines",3,0,0
"1593","audioKines",3,400,1
"1594","audioKines",3,500,0
"1595","audioKines",3,600,0
"1596","audioKines",3,0,1
"1597","visual",1,300,0
"1598","visual",1,300,0
"1599","visual",1,300,1
"1600","visual",1,400,0
"1601","visual",1,600,0
"1602","visual",1,0,1
"1603","visual",1,500,0
"1604","visual",1,600,0
"1605","visual",1,300,0
"1606","visual",1,100,1
"1607","visual",1,100,1
"1608","visual",1,200,1
"1609","visual",1,0,1
"1610","visual",1,100,0
"1611","visual",1,200,0
"1612","visual",1,600,1
"1613","visual",1,600,0
"1614","visual",1,200,1
"1615","visual",1,500,0
"1616","visual",1,500,0
"1617","visual",1,400,0
"1618","visual",1,200,0
"1619","visual",1,100,0
"1620","visual",1,200,0
"1621","visual",1,200,0
"1622","visual",1,600,0
"1623","visual",1,600,0
"1624","visual",1,100,1
"1625","visual",1,500,0
"1626","visual",1,400,0
"1627","visual",1,300,0
"1628","visual",1,500,0
"1629","visual",1,500,0
"1630","visual",1,400,0
"1631","visual",1,0,1
"1632","visual",1,300,0
"1633","visual",1,400,0
"1634","visual",1,400,0
"1635","visual",1,0,1
"1636","visual",1,0,1
"1637","visual",1,0,1
"1638","visual",1,100,0
"1639","audioVibro",3,200,0
"1640","audioVibro",3,400,0
"1641","audioVibro",3,100,0
"1642","audioVibro",3,200,1
"1643","audioVibro",3,300,1
"1644","audioVibro",3,300,0
"1645","audioVibro",3,100,1
"1646","audioVibro",3,0,1
"1647","audioVibro",3,100,0
"1648","audioVibro",3,300,0
"1649","audioVibro",3,500,0
"1650","audioVibro",3,0,1
"1651","audioVibro",3,100,1
"1652","audioVibro",3,300,0
"1653","audioVibro",3,100,0
"1654","audioVibro",3,200,0
"1655","audioVibro",3,600,0
"1656","audioVibro",3,500,0
"1657","audioVibro",3,300,0
"1658","audioVibro",3,100,1
"1659","audioVibro",3,0,1
"1660","audioVibro",3,500,0
"1661","audioVibro",3,500,0
"1662","audioVibro",3,0,0
"1663","audioVibro",3,500,1
"1664","audioVibro",3,0,1
"1665","audioVibro",3,600,0
"1666","audioVibro",3,600,0
"1667","audioVibro",3,600,0
"1668","audioVibro",3,500,0
"1669","audioVibro",3,600,0
"1670","audioVibro",3,300,1
"1671","audioVibro",3,200,0
"1672","audioVibro",3,400,0
"1673","audioVibro",3,200,0
"1674","audioVibro",3,400,0
"1675","audioVibro",3,200,0
"1676","audioVibro",3,600,0
"1677","audioVibro",3,400,0
"1678","audioVibro",3,0,1
"1679","audioVibro",3,400,0
"1680","audioVibro",3,400,0
"1681","kinesVibro",3,100,1
"1682","kinesVibro",3,200,1
"1683","kinesVibro",3,600,1
"1684","kinesVibro",3,300,1
"1685","kinesVibro",3,400,1
"1686","kinesVibro",3,500,1
"1687","kinesVibro",3,600,0
"1688","kinesVibro",3,200,1
"1689","kinesVibro",3,300,1
"1690","kinesVibro",3,100,1
"1691","kinesVibro",3,300,1
"1692","kinesVibro",3,400,1
"1693","kinesVibro",3,0,1
"1694","kinesVibro",3,100,1
"1695","kinesVibro",3,0,1
"1696","kinesVibro",3,600,1
"1697","kinesVibro",3,300,1
"1698","kinesVibro",3,0,1
"1699","kinesVibro",3,0,1
"1700","kinesVibro",3,600,0
"1701","kinesVibro",3,500,1
"1702","kinesVibro",3,0,1
"1703","kinesVibro",3,100,1
"1704","kinesVibro",3,200,1
"1705","kinesVibro",3,200,1
"1706","kinesVibro",3,300,0
"1707","kinesVibro",3,400,0
"1708","kinesVibro",3,500,0
