"","offset","condition","response","vision","vibration","audio","signals","realism","cueInfo","cueInfoBasic"
"123","200","5",8,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"124","300","6",1,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"125","0","17",9,"1","2","2",3,"real","real","real"
"126","200","10",7,"1","1","0",2,"unreal","mix_realVision","mixed"
"127","100","11",9,"1","2","0",2,"real","real","real"
"128","100","3",3,"0","0","1",2,"unreal","unreal","unreal"
"129","400","0",1,"0","0","0",1,"unreal","unreal","unreal"
"130","100","7",8,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"131","0","16",8,"1","1","2",3,"unreal","mix_realVision","mixed"
"132","100","0",3,"0","0","0",1,"unreal","unreal","unreal"
"133","0","7",8,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"134","300","15",8,"1","0","2",2,"real","real","real"
"135","400","12",8,"1","0","1",2,"unreal","mix_realVision","mixed"
"136","200","2",3,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"137","300","4",3,"0","1","1",3,"unreal","unreal","unreal"
"138","100","17",9,"1","2","2",3,"real","real","real"
"139","400","6",1,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"140","400","8",4,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"141","200","0",1,"0","0","0",1,"unreal","unreal","unreal"
"142","400","1",1,"0","1","0",2,"unreal","unreal","unreal"
"143","400","5",3,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"144","100","13",9,"1","1","1",3,"unreal","mix_realVision","mixed"
"145","200","12",8,"1","0","1",2,"unreal","mix_realVision","mixed"
"146","200","11",9,"1","2","0",2,"real","real","real"
"147","400","17",3,"1","2","2",3,"real","real","real"
"148","100","1",7,"0","1","0",2,"unreal","unreal","unreal"
"149","400","16",4,"1","1","2",3,"unreal","mix_realVision","mixed"
"150","400","4",2,"0","1","1",3,"unreal","unreal","unreal"
"151","300","12",6,"1","0","1",2,"unreal","mix_realVision","mixed"
"152","300","7",8,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"153","300","0",1,"0","0","0",1,"unreal","unreal","unreal"
"154","300","8",3,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"155","0","1",8,"0","1","0",2,"unreal","unreal","unreal"
"156","300","10",8,"1","1","0",2,"unreal","mix_realVision","mixed"
"157","400","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"158","0","6",9,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"159","0","8",9,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"160","200","3",1,"0","0","1",2,"unreal","unreal","unreal"
"161","100","9",9,"1","0","0",1,"real","real","real"
"162","200","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"163","0","13",9,"1","1","1",3,"unreal","mix_realVision","mixed"
"164","200","6",1,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"165","100","10",8,"1","1","0",2,"unreal","mix_realVision","mixed"
"166","300","2",2,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"167","100","8",9,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"168","300","1",2,"0","1","0",2,"unreal","unreal","unreal"
"169","400","2",8,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"170","100","15",9,"1","0","2",2,"real","real","real"
"171","100","5",8,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"172","400","9",8,"1","0","0",1,"real","real","real"
"173","300","11",9,"1","2","0",2,"real","real","real"
"174","0","5",9,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"175","200","13",4,"1","1","1",3,"unreal","mix_realVision","mixed"
"176","100","16",7,"1","1","2",3,"unreal","mix_realVision","mixed"
"177","200","17",8,"1","2","2",3,"real","real","real"
"178","100","2",7,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"179","400","13",4,"1","1","1",3,"unreal","mix_realVision","mixed"
"180","400","15",3,"1","0","2",2,"real","real","real"
