"","block","signals","offset","response"
"145","kinesthetic",2,-14,1
"146","kinesthetic",2,200,1
"147","kinesthetic",2,100,1
"148","kinesthetic",2,400,0
"149","kinesthetic",2,600,0
"150","kinesthetic",2,-42,1
"151","kinesthetic",2,-84,1
"152","kinesthetic",2,0,1
"153","kinesthetic",2,-14,1
"154","kinesthetic",2,600,0
"155","kinesthetic",2,300,0
"156","kinesthetic",2,100,0
"157","visual",1,200,0
"158","visual",1,-70,0
"159","visual",1,400,0
"160","visual",1,400,0
"161","visual",1,400,0
"162","visual",1,500,0
"163","visual",1,200,1
"164","visual",1,200,0
"165","visual",1,100,1
"166","visual",1,-42,1
"167","visual",1,-42,1
"168","visual",1,500,0
"169","visual",1,600,0
"170","visual",1,-84,0
"171","visual",1,-28,0
"172","visual",1,-42,0
"173","visual",1,400,0
"174","visual",1,400,0
"175","visual",1,0,1
"176","visual",1,300,0
"177","visual",1,300,1
"178","visual",1,-14,1
"179","visual",1,-84,0
"180","visual",1,200,1
"181","visual",1,-56,0
"182","visual",1,-28,0
"183","visual",1,600,0
"184","visual",1,-84,0
"185","visual",1,-70,0
"186","visual",1,-28,1
"187","visual",1,0,1
"188","visual",1,-14,1
"189","visual",1,0,1
"190","visual",1,400,0
"191","visual",1,-84,0
"192","visual",1,-28,0
"193","visual",1,-56,0
"194","visual",1,-28,1
"195","visual",1,300,0
"196","visual",1,100,1
"197","visual",1,-42,0
"198","visual",1,0,1
"199","visual",1,200,1
"200","visual",1,200,0
"201","visual",1,-28,0
"202","visual",1,-14,1
"203","visual",1,600,0
"204","visual",1,0,1
"205","visual",1,-42,0
"206","visual",1,100,1
"207","visual",1,400,0
"208","visual",1,-84,0
"209","visual",1,300,1
"210","visual",1,-42,0
"211","visual",1,500,0
"212","visual",1,-56,0
"213","visual",1,-42,0
"214","visual",1,-56,0
"215","visual",1,-56,0
"216","visual",1,300,0
"217","visual",1,300,0
"218","visual",1,-28,1
"219","visual",1,200,0
"220","visual",1,-28,1
"221","visual",1,300,0
"222","visual",1,100,1
"223","visual",1,200,0
"224","visual",1,-14,1
"225","visual",1,300,0
"226","visual",1,-14,1
"227","visual",1,500,0
"228","visual",1,-28,1
"229","visual",1,-70,0
"230","visual",1,0,1
"231","visual",1,100,1
"232","visual",1,-42,1
"233","visual",1,-56,0
"234","visual",1,400,0
"235","visual",1,-14,1
"236","visual",1,600,0
"237","visual",1,500,0
"238","visual",1,300,0
"239","visual",1,-14,1
"240","visual",1,-14,1
"241","visual",1,500,0
"242","visual",1,100,1
"243","visual",1,-14,1
"244","visual",1,600,0
"245","visual",1,600,0
"246","visual",1,0,1
"247","visual",1,-70,0
"248","visual",1,200,0
"249","visual",1,-84,1
"250","visual",1,600,1
"251","visual",1,500,0
"252","visual",1,-56,0
"253","visual",1,-70,0
"254","visual",1,600,1
"255","visual",1,300,0
"256","visual",1,-84,0
"257","visual",1,500,0
"258","visual",1,-70,0
"259","visual",1,-28,1
"260","visual",1,600,0
"261","visual",1,-56,1
"262","visual",1,-14,1
"263","visual",1,500,0
"264","visual",1,0,1
"265","visual",1,600,0
"266","visual",1,0,1
"267","visual",1,-14,1
"268","visual",1,400,0
"269","visual",1,500,0
"270","visual",1,100,0
"271","visual",1,200,0
"272","visual",1,-56,1
"273","visual",1,500,0
"274","visual",1,300,0
"275","visual",1,-14,1
"276","visual",1,400,0
"277","visual",1,-56,1
"278","visual",1,600,0
"279","visual",1,500,0
"280","visual",1,-84,0
"281","visual",1,200,1
"282","visual",1,-42,1
"283","visual",1,-70,0
"284","visual",1,400,0
"285","visual",1,-70,1
"286","visual",1,100,1
"287","visual",1,300,0
"288","visual",1,-42,1
"289","visual",1,-70,0
"290","visual",1,-70,0
"291","visual",1,0,1
"292","visual",1,-70,0
"293","visual",1,600,0
"294","visual",1,100,1
"295","visual",1,0,1
"296","visual",1,-42,0
"297","visual",1,-84,0
"298","visual",1,0,1
"299","visual",1,-42,0
"300","visual",1,100,1
